no,kanji,romaji_as_printed,node_id,note
127,真栄城守信,Maeshiro Morinobu,C00375,
128,徳山良規,Tokuyama Yoshinori,J0019,
129,久場良男,Kuba Yoshio,J0031,
130,玻名城哲夫,Hanashiro Tetsuo,J0043,
131,玉寄英美,Tamayose Hidemi,A0118,
132,八木明哲,Yagi Meitetsu,A0134,
133,仲里稔,Nakazato Minoru,C00368,
134,金城嘉孝,Kinjō Yoshitaka,J0020,"printed as ""Yoshitaka Kinjō"""
135,金城榮喜,Kanagusuku Eiki,J0032,
136,野原薫,Nohara Kaoru,,
137,前田清正,Maeda Kiyomasa,J0049,
138,宮平昌信,Miyahira Masanobu,J0004,
139,大城マサトシ,Ōshiro Masatoshi,J0012,
140,仲宗根計吉,Nakazone Keikichi,C00222,
141,金城憲保,Kinjō Kenpo,J0033,
142,源河徳恒,Genka Noritsune,J0044,
143,具志堅新徳,Gushiken Shintoku,J0050,
144,石川清義,Ishikawa Seigi,J0005,
145,松田義雄,Matsuda Yoshio,J0013,
146,タマエ シゲミツ,Tamae Shigemitsu,A0107,
