source,target,interaction,evidence,confidence,source_name_unicode,source_name_ascii,target_name_unicode,target_name_ascii
Q5349190,Q2599967,teacher_of,infobox:students,medium,Eiichi Miyazato,Eiichi Miyazato,Morio Higaonna,Morio Higaonna
Q699236,Q5349190,teacher_of,text_pattern:learned_from,medium,Higaonna Kanryō,Higaonna Kanryo,Eiichi Miyazato,Eiichi Miyazato
Q5349190,Q699236,teacher_of,text_context:student_keyword,low,Eiichi Miyazato,Eiichi Miyazato,Higaonna Kanryō,Higaonna Kanryo
Q723832,Q1473967,teacher_of,infobox:teacher | wikidata:P1066 | wikidata:P802,high,Taira Shinken,Taira Shinken,Fumio Demura,Fumio Demura
Q41105,Q386415,teacher_of,infobox:students | infobox:teacher | wikidata:P1066 | wikidata:P802,high,Gichin Funakoshi,Gichin Funakoshi,Hironori Ōtsuka,Hironori Otsuka
Q41105,Q124766,teacher_of,infobox:students | infobox:teacher | wikidata:P1066 | wikidata:P802,high,Gichin Funakoshi,Gichin Funakoshi,Hidetaka Nishiyama,Hidetaka Nishiyama
Q41105,Q384558,teacher_of,infobox:students | infobox:teacher | wikidata:P1066 | wikidata:P802,high,Gichin Funakoshi,Gichin Funakoshi,Masatoshi Nakayama,Masatoshi Nakayama
Q41105,Q471629,teacher_of,infobox:students | infobox:teacher | wikidata:P1066 | wikidata:P802,high,Gichin Funakoshi,Gichin Funakoshi,Hirokazu Kanazawa,Hirokazu Kanazawa
Q41105,Q628761,teacher_of,infobox:students | infobox:teacher | wikidata:P1066 | wikidata:P802,high,Gichin Funakoshi,Gichin Funakoshi,Gigō Funakoshi,Gigo Funakoshi
Q41105,Q709520,teacher_of,infobox:students | infobox:teacher | wikidata:P1066 | wikidata:P802,high,Gichin Funakoshi,Gichin Funakoshi,Tetsuhiko Asai,Tetsuhiko Asai
Q41105,Q1246030,teacher_of,infobox:students | wikidata:P802,high,Gichin Funakoshi,Gichin Funakoshi,Shigeru Egami,Shigeru Egami
Q41105,Q1335481,teacher_of,wikidata:P802,high,Gichin Funakoshi,Gichin Funakoshi,Henry Plée,Henry Plee
Q41105,Q1360025,teacher_of,infobox:students | infobox:teacher | wikidata:P1066 | wikidata:P802,high,Gichin Funakoshi,Gichin Funakoshi,Taiji Kase,Taiji Kase
Q41105,Q2619054,teacher_of,infobox:students | infobox:teacher | wikidata:P1066 | wikidata:P802,high,Gichin Funakoshi,Gichin Funakoshi,Tsutomu Ohshima,Tsutomu Ohshima
Q41105,Q2915906,teacher_of,infobox:students | infobox:teacher | wikidata:P1066 | wikidata:P802,high,Gichin Funakoshi,Gichin Funakoshi,Teruyuki Okazaki,Teruyuki Okazaki
Q41105,Q4351940,teacher_of,infobox:students | infobox:teacher | wikidata:P1066 | wikidata:P802,high,Gichin Funakoshi,Gichin Funakoshi,Yasuhiro Konishi,Yasuhiro Konishi
Q41105,Q6078918,teacher_of,infobox:students | wikidata:P802,high,Gichin Funakoshi,Gichin Funakoshi,Isao Obata,Isao Obata
Q41105,Q8062088,teacher_of,infobox:students | infobox:teacher | wikidata:P1066 | wikidata:P802,high,Gichin Funakoshi,Gichin Funakoshi,Yutaka Yaguchi,Yutaka Yaguchi
Q41105,Q9096235,teacher_of,infobox:students | wikidata:P802,high,Gichin Funakoshi,Gichin Funakoshi,Won Kuk Lee,Won Kuk Lee
Q715769,Q41105,teacher_of,infobox:students | infobox:teacher | wikidata:P802,high,Matsumura Sōkon,Matsumura Sokon,Gichin Funakoshi,Gichin Funakoshi
Q584466,Q41105,teacher_of,infobox:students | infobox:teacher,medium,Arakaki Seishō,Arakaki Seisho,Gichin Funakoshi,Gichin Funakoshi
Q41105,Q3317210,teacher_of,infobox:students,medium,Gichin Funakoshi,Gichin Funakoshi,Mitsusuke Harada,Mitsusuke Harada
Q41105,Q294548,teacher_of,infobox:students | wikidata:P1066,high,Gichin Funakoshi,Gichin Funakoshi,Mas Oyama,Mas Oyama
