id,name,name_native,name_romaji,birth_year,death_year,trained_from_est,locality,styles,primary_style,family,generation,n_students,n_descendants,connected,honours,legendary,added_by_research,wikipedia_url
Q106668612,Aaron Banks,,,1928,2013,1953,,te,te,te,14,0,0,yes,,,,https://en.wikipedia.org/wiki/Aaron_Banks
N0026,Abe Iwao,,,,,,,,,,13,0,0,yes,,,yes,
J0113,Aburaya Yamagusuku,油屋山城,,,,,"Ryukyu Kingdom, Okinawa",okinawan-kobudo,okinawan-kobudo,kobudo,2,1,596,yes,,,yes,
J0183,Ademir da Costa,アデミール・ダ・コスタ,,1961,,,Brazil,kyokushin,kyokushin,kyokushin,19,1,1,yes,,,yes,
A0230,Adriano Emperado,,,1926,2009,,,kenpo|kajukenbo|kara-ho-kempo,kenpo,kenpo,2,1,1,yes,,,yes,https://en.wikipedia.org/wiki/Adriano_Directo_Emperado
J0166,Ahn Hak-seon,안학선,,,,,Seoul,ji-do-kwan,ji-do-kwan,korean,18,0,0,yes,,,yes,
N0008,Aji Tanmei Iha,,,,,,,,,,0,1,90,yes,,,yes,
B0005,Akihiko Suzuki,,,,,,,goju-ryu|jundokan,goju-ryu,naha-te,13,0,0,yes,,,yes,
A0135,Akihiro Yagi,八木明広,,,,,,goju-ryu|meibukan|imgka,goju-ryu,naha-te,14,0,0,yes,,,yes,
J0065,Akihito Komatsunomiya,小松宮彰仁親王,,,,,"Kyoto, Japan",dai-nippon-butokukai,dai-nippon-butokukai,other,,0,0,,,,yes,
Q11391351,Akihito Yagi,八木明人,,1977,,2002,Naha,meibukan|goju-ryu|karate-generic|te|imgka,meibukan,naha-te,14,0,0,yes,,,,https://en.wikipedia.org/wiki/Akihito_Yagi
C00002,Akio Kinjo,金城昭夫,Kinjo Akio,1936,,,,karate-generic,karate-generic,other,13,0,0,yes,,,,
R0146,Akio Koyama,湖山彰夫,,1958,,,San'in branch,kyokushin-kan,kyokushin-kan,kyokushin,18,0,0,yes,,,yes,
A0088,Akio Minakami,,,1948,,,,hayashi-ha-shito-ryu|shito-ryu,hayashi-ha-shito-ryu,japanese,18,0,0,yes,,,yes,https://en.wikipedia.org/wiki/Akio_Minakami
A0103,Akira Kitagawa,,,,,,,shorin-ryu,shorin-ryu,shuri-te,0,1,3,yes,,,yes,
Q4701154,Akira Masuda,増田章,,1962,,1987,,kyokushin|japanese-karate-generic|karate-generic|te,kyokushin,kyokushin,18,0,0,yes,,,,https://en.wikipedia.org/wiki/Akira_Masuda
R0030,Akira Sato,,,1944,,,"Tokyo, Japan; then Canada",sato-ha-shito-ryu|seiko-kai,sato-ha-shito-ryu,japanese,17,0,0,yes,,,yes,
A0198,Akira Shiomi,,,,,,,goju-ryu,goju-ryu,naha-te,0,1,1,yes,,,yes,
J0104,Akiyoshi Arakaki,新垣昭善,,,,,Tokyo,kenryo-ryu,kenryo-ryu,kobudo,17,0,0,yes,,,yes,
A0232,Al Tracy,,,,,,,kenpo|tracy-kenpo,kenpo,kenpo,0,1,1,yes,,,yes,
R0166,Albert Geraldi,,,,,,"Kansas City, Kansas, United States",ryu-te|okinawa-kenpo,ryu-te,shuri-te,14,0,0,yes,,,yes,
R0245,Aleksander Staniszew,,,1955,,,Poland,,,,18,0,0,yes,,,yes,
Q4731883,Allen Steen,,,1940,2025,1965,,taekwondo|karate-generic|te|jhoon-rhee-taekwondo,taekwondo,korean,18,2,2,yes,,,,https://en.wikipedia.org/wiki/Allen_Steen
A0109,Allen Tackett,,,,,,,seidokan,seidokan,shuri-te,17,0,0,yes,,,yes,
A0011,An'ichi Miyagi,宮城安一,,1931,2009,,,goju-ryu|iogkf,goju-ryu,naha-te,12,3,17,yes,Hanshi 10th dan — Okinawa Karate News register (2018),,yes,
C00003,Anbun Tokuda,徳田安文,,1886,1945,,,karate-generic,karate-generic,other,7,4,46,yes,,,,
N0169,Andrea Guarelli,,,1961,,,,,,,17,0,0,yes,,,yes,
Q123398,Andy Hug,,,1964,2000,1989,,seidokaikan|karate-generic|kyokushin|taekwondo|te,seidokaikan,kyokushin,20,4,4,yes,,,,https://en.wikipedia.org/wiki/Andy_Hug
Q527659,Andy Sherry,,,1943,,1968,Shuri,shotokan|karate-generic|te,shotokan,japanese,18,1,1,yes,,,,https://en.wikipedia.org/wiki/Andy_Sherry
R0112,Angel Lemus,,,,,,United States,shorin-ryu-seibukan,shorin-ryu-seibukan,shuri-te,15,0,0,yes,,,yes,
Q4763171,Angi Uezu,上江洲安儀,,1935,2024,1960,,te|karate-generic|isshin-ryu|isshin-ryu-oikka,isshin-ryu,shuri-te,16,0,0,yes,Hanshi 10th dan — Okinawa Karate News register (2018),,,https://ja.wikipedia.org/wiki/%E4%B8%8A%E6%B1%9F%E6%B4%B2%E5%AE%89%E5%84%80
N0156,Ankei Oshiro,,,1882,1931,,,,,,,0,0,,,,yes,
Q557301,Ankichi Arakaki,新垣安吉,,1899,1927,1924,Shuri,karate-generic|okinawan-karate-generic|te,te,te,12,4,122,yes,,,,https://en.wikipedia.org/wiki/Ankichi_Arakaki
C00005,Ankichi Miyazato,,,,,,,karate-generic,karate-generic,other,16,0,0,yes,,,,
C00006,Ankichi Nakamura,,,,,,,karate-generic,karate-generic,other,16,0,0,yes,Hanshi 10th dan — Okinawa Karate News register (2018),,,
Q721201,Anko Azato,安里安恒,Ankō Azato,1828,1914,1852,Shuri,shuri-te|jigen-ryu|karate-generic|te,shuri-te,shuri-te,5,2,602,yes,,,,https://en.wikipedia.org/wiki/Ank%C5%8D_Asato
Q527422,Anko Itosu,糸洲安恒,Ankō Itosu,1831,1915,1856,Shuri,shuri-te|karate-generic|te|okinawan-karate-generic,shuri-te,shuri-te,5,21,934,yes,,,,https://en.wikipedia.org/wiki/Ank%C5%8D_Itosu
R0197,Anko Sadoyama,佐渡山安恒,,,,,Okinawa,shuri-te|genseiryu,shuri-te,shuri-te,0,1,5,yes,,,yes,
Q251784,Annan,,,,,,,te,te,te,0,3,952,yes,,,,https://en.wikipedia.org/wiki/Anan
W0028,Ansei Arakaki,,Arakaki Ansei,,,,,,,,12,0,0,yes,,,yes,
N0155,Ansei Misato,,,,,,,,,,0,2,123,yes,,,yes,
Q4770567,Ansei Ueshiro,宇江城安盛,,1933,2002,1958,Shuri,matsubayashi-ryu|karate-generic|okinawan-kobudo|shorin-ryu|shuri-te|tomari-te|kobayashi-shorin-ryu|ueshiro-shorin-ryu,matsubayashi-ryu,shuri-te,15,3,3,yes,,,,https://en.wikipedia.org/wiki/Matsubayashi-ry%C5%AB
A0197,Antonio Diaz,,,1980,,,,shito-ryu|inoue-ha-shito-ryu,shito-ryu,japanese,17,0,0,yes,,,yes,https://en.wikipedia.org/wiki/Antonio_D%C3%ADaz_(karateka)
J0003,Anyu Shinjo,新城安勇,Shinjo Anyu,1942,,,,goju-ryu|jundokan,goju-ryu,naha-te,13,0,0,yes,Hanshi 10th dan — Okinawa Karate News register (2018),,yes,
B0021,Arakaki no TANMEI,,,,,,,,,,,0,0,,,,yes,
A0191,Arata Kinjo,金城新,,1991,,,,,,,15,0,0,yes,,,yes,https://ja.wikipedia.org/wiki/%E9%87%91%E5%9F%8E%E6%96%B0
Q4785266,Arcenio James Advincula,,,1938,,1963,Naha,isshin-ryu|goju-ryu|shorin-ryu|uechi-ryu|ryukyu-kobudo|okinawan-kobudo|isshin-ryu-kobudo|isshin-ryu-uika,isshin-ryu,shuri-te,16,0,0,yes,,,,https://en.wikipedia.org/wiki/Arcenio_James_Advincula
Q4807592,Ason,,,,,,,te|katori-shinto-ryu,katori-shinto-ryu,other,0,3,985,yes,,,,https://en.wikipedia.org/wiki/Ason
Q2869852,Atsuko Wakai,若井敦子,,1971,,1996,,goju-ryu|shito-ryu|goju-kai|japanese-karate-generic|karate-generic|shukokai,goju-ryu,naha-te,17,0,0,yes,,,,https://en.wikipedia.org/wiki/Atsuko_Wakai
R0048,Atsuo Hiruma,,,1941,,,"Kanagawa, Japan; Spain and France",shotokai,shotokai,japanese,16,0,0,yes,,,yes,
Q18413638,Atsuo Yamashita,,,,,1917,,wado-ryu|karate-generic|te,wado-ryu,japanese,15,0,0,yes,,,,https://fr.wikipedia.org/wiki/Atsuo_Yamashita
A0205,Azad Kazimov,Azad Kazımov,,,,,,karate-generic|judo,judo,other,0,1,2,yes,,,yes,https://ru.wikipedia.org/wiki/Карате_в_Азербайджане
J0164,Bae Young-ki,배영기,,,,,Seoul,ji-do-kwan,ji-do-kwan,korean,16,0,0,yes,,,yes,
J0159,Baek Joon-ki,백준기,,,,,Korea,chung-do-kwan|oh-do-kwan|itf-taekwondo,chung-do-kwan,korean,16,0,0,yes,,,yes,
A0016,Bakkies Laubscher,,,1948,,,,goju-ryu|karate-generic|iogkf,goju-ryu,naha-te,14,0,0,yes,,,yes,
R0014,Barry Stranack,,,,,,Rhodesia (Zimbabwe) and South Africa,sankukai|shukokai,sankukai,japanese,15,0,0,yes,,,yes,
A0035,Benito Higa,,,,,,,shorin-ryu-kyudokan|kobayashi-shorin-ryu,shorin-ryu-kyudokan,shuri-te,20,0,0,yes,,,yes,
Q730348,Benny Urquidez,,,1952,,1977,,kyokushin|shotokan|scrape-artefact|fujian-white-crane|japanese-karate-generic|karate-generic|kenpo|kung-fu,kyokushin,kyokushin,3,0,0,yes,,,,https://en.wikipedia.org/wiki/Benny_Urquidez
A0082,Bill Bressaw,,,,,,,shukokai|shito-ryu|kimura-shukokai,shukokai,japanese,15,0,0,yes,,,yes,
A0051,Bill Hayes,,,,,,,shobayashi-shorin-ryu,shobayashi-shorin-ryu,shuri-te,17,0,0,yes,,,yes,
Q862634,Bill Wallace,,,1945,,1949,,karate-generic|te,te,te,1,0,0,yes,,,,https://en.wikipedia.org/wiki/Bill_Wallace
R0168,Bill Wiswell,,,,,,"Kansas City, Kansas, United States",ryu-te|okinawa-kenpo,ryu-te,shuri-te,14,0,0,yes,,,yes,
R0052,Billy Higgins,,,1945,,,"Bootle, Merseyside, England",jka,jka,japanese,18,0,0,yes,,,yes,
Q352678,Bjorn Bregy,,Björn Bregy,1974,,1999,,yoseikan-budo|te,yoseikan-budo,other,21,0,0,yes,,,,https://en.wikipedia.org/wiki/Bj%C3%B6rn_Bregy
C00007,Bob Hurten,,,,,,,karate-generic,karate-generic,other,17,0,0,yes,,,,
Q221797,Bobby Lowe,,,1929,2011,1954,,karate-generic|te|kyokushin,kyokushin,kyokushin,16,0,0,yes,,,,https://en.wikipedia.org/wiki/Bobby_Lowe
W0018,Bokuhitsu Nakazato,,Nakazato Bokuhitsu,1835,1902,,,,,,6,0,0,yes,,,yes,
Q28466388,Brian Fitkin,,,1946,,1971,,kyokushin|karate-generic,kyokushin,kyokushin,16,0,0,yes,,,,
C00009,Bunei Okuhira,,,,,,,karate-generic,karate-generic,other,,0,0,,,,,
C00010,Bunsaku Yosekawa,,,,,,,karate-generic,karate-generic,other,17,0,0,yes,,,,
N0137,Bunshiro Nagamine,,,1977,,,,,,,,0,0,,,,yes,
C00012,Bus Martin,,,,,,,karate-generic,karate-generic,other,17,0,0,yes,,,,
J0097,Busen Arakawa,荒川武仙,,,,,Japan (mainland),senbukan,senbukan,naha-te,14,0,0,yes,,,yes,
B0013,Bushi Kunishi,,,,,,,,,,,0,0,,,,yes,
W0015,Bushi Nagahama,,,,,,,,,,2,1,935,yes,,,yes,
A0151,Byung Jick Ro,노병직,Ro Byung-jick,1919,2015,,,taekwondo|shotokan|korean-martial-arts|song-moo-kwan,taekwondo,korean,14,0,0,yes,,,yes,https://en.wikipedia.org/wiki/Song_Moo_Kwan
N0030,C. Iraha,,,,,,,,,,15,0,0,yes,,,yes,
A0111,C. Michial Jones,,,,,,,seidokan,seidokan,shuri-te,18,0,0,yes,,,yes,
Q5042308,Carlos Machado,,,1963,,1988,,te,te,te,0,1,4,yes,,,,https://en.wikipedia.org/wiki/Carlos_Machado
Q381799,Cary-Hiroyuki Tagawa,田川洋行,,1950,2025,1975,,shotokan|karate-generic|te,shotokan,japanese,16,0,0,yes,,,,https://en.wikipedia.org/wiki/Cary-Hiroyuki_Tagawa
R0054,Caylor Adkins,,,1934,,,"Thief River Falls, Minnesota; Long Beach and Los Angeles, Ca",ska,ska,japanese,17,0,0,yes,,,yes,
R0176,Cecil T. Patterson,,,1930,2002,,"Sevierville, Tennessee, United States",wado-ryu,wado-ryu,japanese,15,0,0,yes,,,yes,
B0004,Ch'en Yu-an,,,,,,,,,,0,1,2,yes,,,yes,
J0176,Chang Ung,장웅,,1938,2026,,"Pyongyang, DPRK",itf-chang-ung|itf-taekwondo,itf-chang-ung,korean,,0,0,,,,yes,
Q542989,Chatan Yara,北谷屋良,,1668,1756,1693,Shuri,karate-generic|okinawan-karate-generic|te,te,te,1,1,999,yes,,yes,,https://en.wikipedia.org/wiki/Chatan_Yara
R0259,Chibana Chōshō,知念? — surname 知花; given name 朝章-type reading Chōshō,,1847,1927,,Shuri Tōnokura,,,,0,1,30,yes,,,yes,
C00013,Chihan Yohena,,,,,,,karate-generic,karate-generic,other,13,0,0,yes,,,,
C00015,Chiko Yohena,,,,,,,karate-generic,karate-generic,other,17,0,0,yes,,,,
KN006,Chinen Shikiyanaka,知念志喜屋仲,,1780,1841,,,okinawan-kobudo,okinawan-kobudo,kobudo,1,1,597,yes,,,yes,
R0211,Chinil Chang,,,,2018,,"South Korea, then New York, USA",hapkido,hapkido,korean,2,0,0,yes,,,yes,
C00016,Chinsaku Kinjo,,,,,,,karate-generic,karate-generic,other,0,1,1,yes,,,,
KN001,Chinto,チントー,,,,,,te,te,te,,0,0,,,,yes,
C00017,Chobi Kishaba,,,,,,,karate-generic,karate-generic,other,,0,0,,,,,
C00018,Choboku Takamine,高嶺朝睦,,1908,,,,karate-generic,karate-generic,other,13,0,0,yes,Hanshi 10th dan — Okinawa Karate News register (2018),,,
A0209,Chochi Motobu,本部按司朝智,Motobu Chochi,,,,,motobu-udundi,motobu-udundi,shuri-te,2,1,915,yes,,,yes,https://ja.wikipedia.org/wiki/本部御殿
A0165,Choei Motobu,本部朝英,,,,,,motobu-udundi,motobu-udundi,shuri-te,6,1,911,yes,,,yes,
Q99517310,Chofu Kyan,喜屋武朝扶,Chōfu Kyan,1839,1910,1864,Naha,te|karate-generic,te,te,5,2,243,yes,,,,https://ja.wikipedia.org/wiki/%E5%96%9C%E5%B1%8B%E6%AD%A6%E6%9C%9D%E6%89%B6
Q5103850,Chogi Kishaba,喜舎場朝義,Chōgi Kishaba,1934,2017,1959,,okinawan-karate-generic|goju-ryu|yamanni-ryu|okinawan-kobudo|karate-generic|te|yamanni-chinen-ryu-rbkd,goju-ryu,naha-te,16,4,4,yes,Hanshi 10th dan — Okinawa Karate News register (2018),,,https://en.wikipedia.org/wiki/Chogi_Kishaba
C00657,Chogi Yoshimura,義村朝義,,1866,1945,,,karate-generic,karate-generic,other,8,0,0,yes,,,,
A0207,Chohei Motobu,本部王子朝平,Motobu Chohei,1655,1687,,,motobu-udundi,motobu-udundi,shuri-te,0,1,917,yes,,,yes,https://ja.wikipedia.org/wiki/本部御殿
N0054,Chohitsu Kyan,,,,,,,,,,6,0,0,yes,,,yes,
N0210,Choho Giwan,,,,1875,,,,,,,0,0,,,,yes,
A0182,Choi Chang-keun,최창근,,1940,,,,taekwondo|korean-martial-arts|itf-taekwondo,taekwondo,korean,15,0,0,yes,,,yes,https://en.wikipedia.org/wiki/Choi_Chang-keun
Q356335,Choi Hong-hi,최홍희,,1918,2002,1943,,karate-generic|taekwondo|shotokan|scrape-artefact|korean-martial-arts|tang-soo-do|itf-taekwondo|oh-do-kwan,taekwondo,korean,14,11,11,yes,,,,https://en.wikipedia.org/wiki/Choi_Hong-hi
J0175,Choi Jung-hwa,최중화,,1954,,,"Jeju Island, Korea; Canada; UK",itf-choi-jung-hwa|itf-taekwondo,itf-choi-jung-hwa,korean,15,0,0,yes,,,yes,
J0153,Choi Kwang-jo,최광조,,1942,,,"Daegu, Korea; Atlanta, Georgia, USA",itf-taekwondo,itf-taekwondo,korean,15,0,0,yes,,,yes,
J0178,Choi Yong-sool,최용술,,1899,1986,,"Yeongdong, North Chungcheong; Daegu",daito-ryu,daito-ryu,other,1,8,10,yes,,,yes,
C00024,Chojin Kuba,久場長仁,,1904,1989,,,karate-generic,karate-generic,other,7,2,90,yes,,,,
A0078,Chojiro Tani,谷長治郎,,1921,1998,,,shukokai|shito-ryu|goju-ryu,shukokai,japanese,13,11,24,yes,,,yes,https://en.wikipedia.org/wiki/Ch%C5%8Djir%C5%8D_Tani
C00025,Chojo Oshiro,大城朝恕,,1887,1935,,,karate-generic,karate-generic,other,6,7,186,yes,,,,
Q221121,Chojun Miyagi,宮城長順,Chōjun Miyagi,1888,1953,1913,Shuri,goju-ryu|fujian-white-crane|karate-generic|naha-te|kyokushin|shuri-te|chinese-martial-arts|dai-nippon-butokukai|goju-kai,goju-ryu,naha-te,11,30,764,yes,,,,https://en.wikipedia.org/wiki/Ch%C5%8Djun_Miyagi
A0208,Chokan Motobu,本部按司朝完,Motobu Chokan,,,,,motobu-udundi,motobu-udundi,shuri-te,1,1,916,yes,,,yes,https://ja.wikipedia.org/wiki/本部御殿
Q5104212,Chokei Kishaba,喜舎場朝啓,Chōkei Kishaba,1929,2000,1954,,shorin-ryu|yamanni-ryu|karate-generic|okinawan-karate-generic|shorin-ryu-kishaba-juku|te,shorin-ryu,shuri-te,16,1,1,yes,,,,https://en.wikipedia.org/wiki/Chokei_Kishaba
C00026,Choken Makabe,真壁朝顕,,1769,1823,,,karate-generic,karate-generic,other,4,0,0,yes,,,,
Q1147708,Choki Motobu,本部朝基,Chōki Motobu,1870,1944,1895,Shuri,motobu-ryu|shuri-te|tomari-te|shorin-ryu|wado-ryu|matsubayashi-ryu|scrape-artefact|karate-generic|kenpo,motobu-ryu,shuri-te,11,21,345,yes,,,,https://en.wikipedia.org/wiki/Motobu_Ch%C5%8Dki
C00028,Choko Motobu,本部朝恒,Motobu Chōkō,,,,,karate-generic,karate-generic,other,4,1,913,yes,,,,
KP003,Chokuho Agena,安慶名朝比呼,,,,,,,,,0,1,44,yes,,,yes,
N0140,Chokuho Agena,,,,,,,,,,0,1,44,yes,,,yes,
C00020,Chokyu Motobu,本部朝救,Motobu Chōkyū,1741,1814,,,karate-generic,karate-generic,other,5,1,912,yes,,,,
C00021,Chomei Motobu,本部朝明,Motobu Chōmei,1885,1956,,,karate-generic,karate-generic,other,0,1,2,yes,,,,
Q705617,Chomo Hanashiro,花城長茂,Chōmo Hanashiro,1869,1945,1894,Shuri,shotokan|karate-generic|shorin-ryu|shito-ryu|chito-ryu|shuri-te|okinawan-karate-generic|te,shotokan,japanese,6,11,715,yes,,,,https://en.wikipedia.org/wiki/Ch%C5%8Dmo_Hanashiro
A0219,Chomo Motobu,本部朝茂,Motobu Chomo,1890,1945,,,motobu-udundi,motobu-udundi,shuri-te,12,0,0,yes,,,yes,https://ja.wikipedia.org/wiki/本部朝勇
C00037,Chomo Motobu,本部朝茂,,,1945,,,karate-generic,karate-generic,other,12,0,0,yes,,,,
A0210,Choryu Motobu,本部王子朝隆,Motobu Choryu,,,,,motobu-udundi,motobu-udundi,shuri-te,3,1,914,yes,,,yes,https://ja.wikipedia.org/wiki/本部御殿
A0028,Chosei Motobu,本部朝正,,1925,,,,motobu-ryu|motobu-udundi|karate-generic,motobu-ryu,shuri-te,13,1,1,yes,,,yes,https://en.wikipedia.org/wiki/Motobu-ry%C5%AB
C00038,Choshin Ahagon,,,,,,,karate-generic,karate-generic,other,17,0,0,yes,,,,
Q1071733,Choshin Chibana,知花朝信,Chōshin Chibana,1885,1969,1910,Shuri,shorin-ryu|matsubayashi-ryu|karate-generic|kobayashi-shorin-ryu|okinawan-karate-generic|shobayashi-shorin-ryu|shorin-ryu-shubukan|shorin-ryu-kyudokan|shorin-ryu-seibukan,shorin-ryu,shuri-te,6,25,293,yes,,,,https://en.wikipedia.org/wiki/Ch%C5%8Dshin_Chibana
A0029,Choshin Motobu,本部朝真,Motobu Choshin,,,,,motobu-udundi|te,motobu-udundi,shuri-te,9,1,908,yes,,,yes,https://en.wikipedia.org/wiki/House_of_Motobu
C00042,Chosho Motobu,本部朝章,Motobu Chōshō,,,,,karate-generic,karate-generic,other,8,1,909,yes,,,,
A0166,Chotoku Inohama,伊野波朝徳,,,,,,motobu-udundi,motobu-udundi,shuri-te,7,1,910,yes,,,yes,
Q2393877,Chotoku Kyan,喜屋武朝徳,Chōtoku Kyan,1870,1945,1895,Shuri,shorin-ryu|tomari-te|chito-ryu|shuri-te|scrape-artefact|japanese-karate-generic|karate-generic|okinawan-karate-generic|te,shorin-ryu,shuri-te,11,13,241,yes,,,,https://en.wikipedia.org/wiki/Ch%C5%8Dtoku_Kyan
W0025,Chotoku Maeshiro,,Maeshiro Chotoku,1909,1979,,,,,,7,2,13,yes,,,yes,
A0053,Chotoku Omine,大嶺朝徳,,1929,1975,,,matsubayashi-ryu,matsubayashi-ryu,shuri-te,15,1,2,yes,,,yes,
J0095,Chotoku Zukeran,瑞慶覧朝徳,,,,,Okinawa,yamanni-ryu,yamanni-ryu,kobudo,6,0,0,yes,,,yes,
KP005,Choun Oyakata,朝雲親方,,,,,,,,,,0,0,,,,yes,
C00044,Choyu Kiyuna,喜友名朝有,,,,,,karate-generic,karate-generic,other,13,0,0,yes,Hanshi 10th dan — Okinawa Karate News register (2018),,,
Q706389,Choyu Motobu,本部朝勇,Chōyū Motobu,1865,1928,1882,Shuri,shuri-te|motobu-ryu|scrape-artefact|karate-generic|kenpo|motobu-udundi|te,shuri-te,shuri-te,10,11,907,yes,,,,https://en.wikipedia.org/wiki/Motobu_Ch%C5%8Dy%C5%AB
Q15987180,Chozo Nakama,名嘉真朝増,Chōzō Nakama,1899,1982,1924,Shuri,kobayashi-shorin-ryu|shorin-ryu|karate-generic|okinawan-karate-generic|te,kobayashi-shorin-ryu,shuri-te,13,6,19,yes,,,,https://en.wikipedia.org/wiki/Chozo_Nakama
A0083,Chris Thompson,,,,,,,shukokai|shito-ryu|kimura-shukokai,shukokai,japanese,15,0,0,yes,,,yes,
Q1082144,Christian Tissier,,,1951,,1976,,aikido|te,aikido,other,17,0,0,yes,,,,https://en.wikipedia.org/wiki/Christian_Tissier
Q2673,Chuck Norris,,,1940,,1965,,tang-soo-do|karate-generic|kyokushin-budokai|taekwondo|goju-ryu|kyokushin|shito-ryu|shotokan|chun-kuk-do|moo-duk-kwan,tang-soo-do,korean,18,3,3,yes,,,,https://en.wikipedia.org/wiki/Chuck_Norris
A0155,Chun Sang-sup,전상섭,,1921,,,,taekwondo|shotokan|korean-martial-arts|ji-do-kwan,taekwondo,korean,14,4,6,yes,,,yes,https://en.wikipedia.org/wiki/Yun_Mu_Kwan
J0162,Chung Yong-taek,정영택,,1921,2006,,"Seoul; Kansas City, Missouri",chung-do-kwan,chung-do-kwan,korean,16,0,0,yes,,,yes,
A0089,Chuzo Kotaka,,,1941,,,,shito-ryu|shukokai,shito-ryu,japanese,17,4,4,yes,,,yes,
Q5121886,Ciriaco Canete,,Ciriaco Cañete,1919,2016,1944,,shorin-ryu|karate-generic|te,shorin-ryu,shuri-te,,0,0,,,,,https://en.wikipedia.org/wiki/Ciriaco_Ca%C3%B1ete
Q5176649,Count Dante,,,1939,1975,1964,,karate-generic|kung-fu|te,kung-fu,chinese,16,0,0,yes,,,,https://en.wikipedia.org/wiki/Count_Dante
R0136,Daigo Oishi,大石代悟,,1950,,,"Yamanashi; dojo in Numazu, Shizuoka",kyokushin,kyokushin,kyokushin,19,1,1,yes,,,yes,
R0041,Daizo Kanazawa,,,1973,,,Japan,skif,skif,japanese,20,0,0,yes,,,yes,
Q550492,Dan Inosanto,,,1936,,1961,,kenpo|karate-generic|kung-fu|te|american-kenpo,kenpo,kenpo,3,0,0,yes,,,,https://en.wikipedia.org/wiki/Dan_Inosanto
A0044,Dan Smith,,,,,,,shorin-ryu-seibukan,shorin-ryu-seibukan,shuri-te,15,0,0,yes,,,yes,
R0164,Darin Yee,,,,,,United States,uechi-ryu|iukf,uechi-ryu,uechi-ryu,10,0,0,yes,,,yes,
Q5228927,Dave Hazard,,,1952,,1977,,karate-generic|shotokan|te,shotokan,japanese,18,0,0,yes,,,,https://en.wikipedia.org/wiki/Dave_Hazard
R0029,David Hines,,,,,,"Santa Ana, California, USA",genbu-kai|itosu-ryu,genbu-kai,japanese,17,0,0,yes,,,yes,
R0153,David Pickthall,,,,,,United Kingdom,ifk-kyokushin,ifk-kyokushin,kyokushin,17,0,0,yes,,,yes,
B0024,David Scot,,,,,,,uechi-ryu,uechi-ryu,uechi-ryu,8,0,0,yes,,,yes,
R0187,David Yuki Koda,,,,,,United States,yoshukai,yoshukai,japanese,15,0,0,yes,,,yes,
A0100,Denis Labbé,,,,,,,wado-ryu,wado-ryu,japanese,16,0,0,yes,,,yes,
Q3035513,Dominique Valera,,,1947,,1972,,karate-generic|shotokan|te,shotokan,japanese,18,0,0,yes,,,,https://en.wikipedia.org/wiki/Dominique_Valera
Q5294533,Donald Hugh Nagle,,,1938,1999,1963,,isshin-ryu|karate-generic|te|isshin-ryu-aoka,isshin-ryu,shuri-te,16,0,0,yes,,,,https://en.wikipedia.org/wiki/Donald_Hugh_Nagle
Q2576986,Donn F Draeger,,Donn F. Draeger,1922,1982,1947,,katori-shinto-ryu|kyokushin-budokai|shodokan-aikido|kyokushin|chinese-martial-arts|karate-generic|nihon-kobudo|shinto-muso-ryu|shodokan-goju-ryu,katori-shinto-ryu,other,1,0,0,yes,,,,https://en.wikipedia.org/wiki/Donn_F._Draeger
A0036,Doug Perry,,,1937,,,,shorin-ryu-shorinkan|kobayashi-shorin-ryu,shorin-ryu-shorinkan,shuri-te,17,0,0,yes,,,yes,
Q653633,Ed Parker,,,1931,1990,1956,,american-kenpo|scrape-artefact|karate-generic|kenpo|kung-fu|te,american-kenpo,kenpo,2,8,11,yes,,,,https://en.wikipedia.org/wiki/Ed_Parker
Q5335255,Ed Parker Jr,,Ed Parker Jr.,1959,,1984,,american-kenpo|karate-generic|kenpo|te,american-kenpo,kenpo,3,0,0,yes,,,,https://en.wikipedia.org/wiki/Ed_Parker_Jr.
A0038,Eddie Bethea,,,,,,,shorin-ryu-shorinkan|kobayashi-shorin-ryu,shorin-ryu-shorinkan,shuri-te,17,0,0,yes,,,yes,
A0081,Eddie Daniels,,,,,,,shukokai|shito-ryu|kimura-shukokai,shukokai,japanese,15,0,0,yes,,,yes,
R0191,Edward Kaloudis,,,,,,"New York City, United States",koei-kan,koei-kan,japanese,15,0,0,yes,,,yes,
R0110,Edward M. Takae,,,1926,2010,,"Honuapo, Hawaii, then Tampa, Florida",shorin-ryu-seibukan,shorin-ryu-seibukan,shuri-te,13,1,2,yes,,,yes,
N0177,Eekata Tansui,,,1623,1682,,,,,,,0,0,,,,yes,
N0065,Eigen Tomoyose,,,1900,1980,,,,,,,0,0,,,,yes,
A0064,Eihachi Ota,,,1945,,,,matsubayashi-ryu|okinawan-kobudo,matsubayashi-ryu,shuri-te,16,0,0,yes,Hanshi 10th dan — Okinawa Karate News register (2018),,yes,
KP021,Eiichi Eriguchi,江里口栄一,,1908,2003,,,,,,15,0,0,yes,,,yes,
Q5349190,Eiichi Miyazato,宮里栄一,,1922,1999,1947,Shuri,goju-ryu|karate-generic|naha-te|jundokan|okinawan-karate-generic|te,goju-ryu,naha-te,12,24,40,yes,Hanshi 10th dan — Okinawa Karate News register (2018),,,https://en.wikipedia.org/wiki/Eiichi_Miyazato
J0134,Eiichi Tanaka,田中栄一,,,,,,shito-kai,shito-kai,japanese,,0,0,,,,yes,
B0003,Eiji Kinjo,,,1899,1995,,,,,,,0,0,,,,yes,
