id,name,name_native,name_romaji,birth_year,death_year,trained_from_est,locality,styles,primary_style,family,generation,n_students,n_descendants,connected,honours,legendary,added_by_research,wikipedia_url
J0180,Song Deok-gi,,,1893,1987,,"Jongno-gu, Seoul",,,,1,1,1,yes,,,yes,
C00331,Sonko Tamaki,,,,,,,karate-generic,karate-generic,other,,0,0,,,,,
C00332,Soryu Furugen,,,,,,,karate-generic,karate-generic,other,8,0,0,yes,,,,
Q106695378,Sosui Ichikawa,市川素水,,1924,2005,1949,Naha,goju-ryu|shotokan|naha-te|daito-ryu|karate-generic|okinawan-karate-generic|te|senbukan,goju-ryu,naha-te,14,1,1,yes,,,,https://en.wikipedia.org/wiki/Sosui_Ichikawa
R0016,Stan Knighton,,,,,,"Sheffield, England",shukokai|kimura-shukokai,shukokai,japanese,15,0,0,yes,,,yes,
Q29043333,Stan Schmidt,,,1936,2019,1961,,shotokan|karate-generic|scrape-artefact|japanese-karate-generic|te|jka,shotokan,japanese,16,0,0,yes,,,,https://en.wikipedia.org/wiki/Stan_Schmidt
A0106,Stephen Chan,,,1949,,,,seidokan|shorin-ryu,seidokan,shuri-te,18,0,0,yes,,,yes,https://en.wikipedia.org/wiki/Stephen_Chan_(academic)
A0158,Steve Armstrong,,,1931,2006,,,isshin-ryu|isshin-ryu-aoka,isshin-ryu,shuri-te,16,0,0,yes,,,yes,
Q562024,Steve Arneil,,,1934,2021,1959,Shuri,kyokushin|karate-generic|goju-ryu|shotokan|wado-ryu|kenpo|kung-fu|ifk-kyokushin,kyokushin,kyokushin,16,1,1,yes,,,,https://en.wikipedia.org/wiki/Steve_Arneil
R0051,Steve Cattle,,,1947,1995,,"York and Liverpool, England",kase-ha,kase-ha,japanese,20,0,0,yes,,,yes,
A0076,Steve Watson,,,,,,,matsumura-seito,matsumura-seito,shuri-te,8,0,0,yes,,,yes,
Q7614483,Steven Bellamy,,,1950,,1975,,karate-generic|goju-ryu|wado-ryu|okinawan-kobudo|shinto-muso-ryu|muso-shinden-ryu|te,goju-ryu,naha-te,14,0,0,yes,,,,https://en.wikipedia.org/wiki/Steven_Bellamy
N0172,Su Yinghan,,,,,,,,,,0,1,1,yes,,,yes,
KN008,Sueyoshi,末吉,,1846,1920,,,okinawan-kobudo,okinawan-kobudo,kobudo,0,2,556,yes,,,yes,
C00076,Sugaya Ueshima,上島菅,,,,,,karate-generic,karate-generic,other,0,1,2,yes,,,,
Q982540,Sumiyuki Kotani,小谷澄之,,1903,1991,1928,,te,te,te,2,0,0,yes,,,,https://en.wikipedia.org/wiki/Sumiyuki_Kotani
C00333,Susumu Tamamura,,,,,,,karate-generic,karate-generic,other,8,0,0,yes,Hanshi 10th dan — Okinawa Karate News register (2018),,,
