inherited,branch_reach,id,name,native,born,died,style,family,reach,direct,prominent,breadth,generations,teachers,teacher_styles,honours
yes,0,C00605,Tokusaburo Matsuda,松田徳三郎,1877,1931,,other,618,1,1,155,8,2,5,
yes,0,R0252,Zheng Xianji,郑仙纪,1854,1929,,chinese,618,1,1,155,8,0,0,
,617,Q2473562,Kanbun Uechi,上地完文,1877,1948,,uechi-ryu,617,7,5,155,7,8,7,
,602,Q721201,Anko Azato,安里安恒,1828,1914,,shuri-te,602,2,2,143,6,1,5,
yes,0,B0030,Soeishi,,1772,1825,,other,598,1,1,158,11,0,0,
yes,0,KN003,Soeishi Ryotoku,祖栄志良徳,,,,kobudo,598,1,1,158,11,0,0,
yes,0,KN006,Chinen Shikiyanaka,知念志喜屋仲,1780,1841,,kobudo,597,1,1,158,10,2,1,
yes,0,A0125,Umikana Chinen,知念,1797,1881,,kobudo,596,1,1,158,9,1,6,
yes,0,J0113,Aburaya Yamagusuku,油屋山城,,,,kobudo,596,1,1,158,9,1,1,
,595,C00449,Sanda Chinen,知念三良,1842,1925,,kobudo,595,12,10,158,8,2,2,
,582,C00450,Sanda Kanagusuku,金城大筑,1841,1921,,kobudo,582,4,3,155,8,0,0,
yes,0,C00354,Tawata Pechin,多和田親雲上,,,,kobudo,556,1,1,148,8,1,5,
,556,KN008,Sueyoshi,末吉,1846,1920,,kobudo,556,2,1,148,7,0,0,
,555,C00373,Moden Yabiku,屋比久孟伝,1878,1941,,kobudo,555,3,3,148,7,4,7,
,555,Q7446788,Seiko Fujita,藤田西湖,1898,1966,,kenpo,555,6,5,148,7,0,0,
,555,R0240,Ueno Takashi,上野貴,1899,1976,,other,555,2,2,148,7,0,0,
,554,Q453505,Kenwa Mabuni,摩文仁賢和,1889,1952,,japanese,554,34,22,148,6,15,30,
yes,0,N0202,Gifuku Funakoshi,,,,,other,453,1,1,130,6,0,0,
,452,Q41105,Gichin Funakoshi,船越義珍,1868,1957,,japanese,452,39,22,129,5,8,16,
,445,C00604,Tokumine Pechin,徳嶺親雲上,,,,other,445,2,2,120,7,0,0,
yes,0,A0030,Sakuma Pechin,佐久間親雲上 (Motobu Chōki writes 佐久間; the family page title uses 佐久真),1830,,,shuri-te,346,1,1,94,6,0,0,
,345,Q1147708,Choki Motobu,本部朝基,1870,1944,,shuri-te,345,21,12,94,5,7,12,
,293,Q1071733,Choshin Chibana,知花朝信,1885,1969,,shuri-te,293,25,22,85,5,2,5,
