inherited,branch_reach,id,name,native,born,died,style,family,reach,direct,prominent,breadth,generations,teachers,teacher_styles,honours
,0,C00475,Seikichi Higa,比嘉世吉,1927,1999,,naha-te,0,0,0,0,0,2,11,
,0,Q716152,Shoji Nishio,西尾昭二,1927,2005,,japanese,0,0,0,0,0,4,16,
,0,R0002,Tokio Hisatomi,,1927,2013,,japanese,0,0,0,0,0,1,9,
,0,A0041,Yoshihide Shinzato,新里良英,1927,2008,,shuri-te,0,0,0,0,0,3,11,Hanshi 10th dan — Okinawa Karate News register (2018)
,0,Q106668612,Aaron Banks,,1928,2013,,te,0,0,0,0,0,1,3,
,0,Q5728406,Henry Slomanski,,1928,2000,,japanese,0,0,0,0,0,1,10,
,0,Q3317210,Mitsusuke Harada,原田満祐,1928,2021,,japanese,0,0,0,0,0,5,11,
,0,R0232,Shin Han-seung,,1928,1987,,korean,0,0,0,0,0,1,0,
,0,Q221797,Bobby Lowe,,1929,2011,,te,0,0,0,0,0,1,9,
,0,Q18414412,Kazuo Sakura,桜村和夫,1929,2002,,japanese,0,0,0,0,0,1,10,
,0,Q7397534,Sadamu Uriu,,1929,2020,,japanese,0,0,0,0,0,2,9,
,0,R0038,Shojiro Sugiyama,,1929,2015,,japanese,0,0,0,0,0,1,7,
,0,J0001,Shuichi Aragaki,新垣修一,1929,2021,,naha-te,0,0,0,0,0,2,10,Hanshi 10th dan — Okinawa Karate News register (2018)
,0,R0176,Cecil T. Patterson,,1930,2002,,japanese,0,0,0,0,0,1,10,
,0,Q48441622,Harold Long,,1930,1998,,te,0,0,0,0,0,1,10,
,0,A0172,Lee Kyo-yoon,이교윤,1930,2017,,korean,0,0,0,0,0,1,4,
,0,Q369949,Robert Culp,,1930,2010,,te,0,0,0,0,0,1,6,
,0,J0007,Shintoku Takara,高良信徳,1930,,,uechi-ryu,0,0,0,0,0,1,4,Hanshi 10th dan — Okinawa Karate News register (2018)
,0,J0035,Yoshio Higa,比嘉敏雄,1930,,,uechi-ryu,0,0,0,0,0,1,4,Hanshi 10th dan — Okinawa Karate News register (2018)
,0,R0034,Hiroshi Shoji,,1931,2003,,japanese,0,0,0,0,0,1,7,
,0,A0013,Ken Miyagi,宮城敬,1931,2003,,other,0,0,0,0,0,1,9,
,0,A0158,Steve Armstrong,,1931,2006,,shuri-te,0,0,0,0,0,1,10,
,0,R0082,Ryugo Sakai,,1932,2002,,naha-te,0,0,0,0,0,1,5,
,0,Q8062088,Yutaka Yaguchi,矢口豊,1932,2023,,japanese,0,0,0,0,0,2,12,
,0,A0058,Frank Grant,,1933,2019,,shuri-te,0,0,0,0,0,3,11,
,0,R0208,Han Bong-soo,,1933,2007,,korean,0,0,0,0,0,2,1,
,0,Q5661611,Harold M Mitchum,,1933,2016,,shuri-te,0,0,0,0,0,1,10,
,0,J0025,Hiroshi Inada,稲田弘,1933,2013,,uechi-ryu,0,0,0,0,0,1,4,Hanshi 10th dan — Okinawa Karate News register (2018)
,0,Q2911640,Takayuki Mikami,三上孝之,1933,,,japanese,0,0,0,0,0,1,7,
,0,C00628,Tsutomu Nakahodo,仲程力,1933,,,uechi-ryu,0,0,0,0,0,3,5,Hanshi 10th dan — Okinawa Karate News register (2018)
,0,A0097,Yoshiaki Ajari,,1933,2022,,japanese,0,0,0,0,0,1,10,
,0,R0054,Caylor Adkins,,1934,,,japanese,0,0,0,0,0,1,6,
,0,A0178,Han Cha-kyo,한차교,1934,1996,,korean,0,0,0,0,0,3,7,
,0,C00229,Kenji Nakaima,仲井間憲児,1934,,,naha-te,0,0,0,0,0,1,3,
,0,J0152,Kim Bok-man,,1934,2021,,korean,0,0,0,0,0,1,8,
,0,R0218,Sihak Henry Cho,,1934,2012,,korean,0,0,0,0,0,1,6,
,0,Q957513,Teruo Kono,河野輝夫,1934,2000,,japanese,0,0,0,0,0,1,10,
,0,Q4763171,Angi Uezu,上江洲安儀,1935,2024,,te,0,0,0,0,0,1,10,Hanshi 10th dan — Okinawa Karate News register (2018)
,0,Q303,Elvis Presley,,1935,1977,,kenpo,0,0,0,0,0,1,6,
,0,C00085,Gosei Yamaguchi,,1935,,,naha-te,0,0,0,0,0,1,7,
,0,Q13424717,Kyoichi Inoue,井上強一,1935,2017,,te,0,0,0,0,0,1,6,
,0,C00507,Shigeru Takamiyagi,高宮城繁,1935,2014,,other,0,0,0,0,0,1,4,Hanshi 10th dan — Okinawa Karate News register (2018)
,0,R0037,Shojiro Koyama,,1935,2021,,japanese,0,0,0,0,0,1,7,
