node_id,name,name_native,name_romaji,birth_year,death_year,trained_from_est,locality,styles,primary_style,connected,generation,legendary,added_by_research,wikipedia_url
A0040,Pat Nakata,,,,2013,,,kobayashi-shorin-ryu|shorin-ryu,kobayashi-shorin-ryu,yes,7,,yes,
A0041,Yoshihide Shinzato,新里良英,,1927,2008,,,kobayashi-shorin-ryu|shorin-ryu,kobayashi-shorin-ryu,yes,13,,yes,
A0042,Zenshun Shimabukuro,島袋善俊,,,,,,shorin-ryu-seibukan,shorin-ryu-seibukan,yes,14,,yes,
A0043,Zenji Shimabukuro,,,,,,,shorin-ryu-seibukan,shorin-ryu-seibukan,yes,13,,yes,
A0044,Dan Smith,,,,,,,shorin-ryu-seibukan,shorin-ryu-seibukan,yes,14,,yes,
A0045,Walter Dailey,,,,,,,shorin-ryu-seibukan,shorin-ryu-seibukan,yes,14,,yes,
A0046,Isamu Tamotsu,保勇,,1919,2000,,,shorinji-ryu-renshinkan,shorinji-ryu-renshinkan,yes,9,,yes,
A0047,Iwao Tamotsu,保巖,Tamotsu Iwao,1948,2016,,,shorinji-ryu-renshinkan,shorinji-ryu-renshinkan,yes,10,,yes,
A0048,Yuzo Tamotsu,保勇三,,1957,,,,shorinji-ryu-renshinkan,shorinji-ryu-renshinkan,yes,10,,yes,
A0049,Hitoshi Oyakawa,親川仁志,Hitoshi Oyakawa,,,,,shorinji-ryu,shorinji-ryu,yes,9,,yes,
A0050,Eiko Shimabukuro,,,,,,,shobayashi-shorin-ryu,shobayashi-shorin-ryu,yes,14,,yes,
A0051,Bill Hayes,,,,,,,shobayashi-shorin-ryu,shobayashi-shorin-ryu,yes,14,,yes,
A0052,Matt Larsen,,,,,,,shobayashi-shorin-ryu,shobayashi-shorin-ryu,yes,14,,yes,
A0053,Chotoku Omine,大嶺朝徳,,1929,1975,,,matsubayashi-ryu,matsubayashi-ryu,yes,13,,yes,
A0054,Kensei Taba,田場兼靖,,1933,2012,,,matsubayashi-ryu,matsubayashi-ryu,yes,13,,yes,
A0055,Yoshitaka Taira,平良慶孝,,1943,,,,matsubayashi-ryu,matsubayashi-ryu,yes,14,,yes,
A0056,Toshimitsu Arakaki,新垣敏光,,,,,,matsubayashi-ryu,matsubayashi-ryu,yes,13,,yes,
A0057,James Wax,,,,,,,matsubayashi-ryu,matsubayashi-ryu,yes,13,,yes,
A0058,Frank Grant,,,1933,2019,,,matsubayashi-ryu,matsubayashi-ryu,yes,14,,yes,
